route_id,direction_label,stop_code,stop_name,stop_sequence
10,Outbound,weem,westminster & empire,1
10,Outbound,weed,weybosset & eddy,2
10,Outbound,tuhe,turk's head building,3
10,Outbound,exte,exchange terrace (stop X),4
10,Outbound,conv,rhode island convention center,5
10,Outbound,haat,hartford & atwood,6
10,Outbound,hare,hartford & reservoir,7
10,Outbound,rtro,danielson pike & rockland,8
10,Outbound,chop,chopmist hill fire station,9
11,North,bdcl,broad city line,1
11,North,bdth,broad & thurbers,2
11,North,bdli,broad & elmwood,3
11,North,kepl,kennedy plaza - providence,4
11,North,psta,providence station,6
11,North,chga,north main & doyle (charlesgate),7
11,North,nmni,ninth street (north main & 9th),8
11,North,copk,collyer park (main & conant),9
11,North,maro,pawtucket transit ctr (main & roosevelt),10
11,South,maro,pawtucket transit ctr (main & roosevelt),1
11,South,copk,collyer park (main & conant),2
11,South,nmni,ninth street (north main & 9th),3
11,South,chga,north main & doyle (charlesgate),4
11,South,psta,providence station,5
11,South,kepl,kennedy plaza - providence,6
11,South,bdli,broad & elmwood,7
11,South,bdth,broad & thurbers,8
11,South,bdcl,broad city line,9
12,Inbound,arce,arctic center (main & washington),1
12,Inbound,p117,park&ride (rte. 117 - warwick),2
12,Inbound,exte,exchange terrace (stop X),3
12,Inbound,conv,rhode island convention center,4
12,Inbound,weem,westminster & empire,5
12,Inbound,weed,weybosset & eddy,6
12,Inbound,tuhe,turk's head building,7
12,Outbound,exte,exchange terrace (stop X),1
12,Outbound,conv,rhode island convention center,2
12,Outbound,weem,westminster & empire,3
12,Outbound,weed,weybosset & eddy,4
12,Outbound,tuhe,turk's head building,5
12,Outbound,p117,park&ride (rte. 117 - warwick),6
12,Outbound,arce,arctic center (main & washington),7
13,Inbound,woma,woodland manor,1
13,Inbound,walm,job lot (tiogue ave. - coventry),2
13,Inbound,wash,south main & tiogue,3
13,Inbound,wasb,washington & sandy bottom,4
13,Inbound,arce,arctic center (main & washington),5
13,Inbound,prto,providence & tollgate,6
13,Inbound,prwa,providence & wakefield,7
13,Inbound,wmvd,warwick mall (villa del rio apartments),8
13,Outbound,wmvd,warwick mall (villa del rio apartments),1
13,Outbound,prwa,providence & wakefield,2
13,Outbound,prto,providence & tollgate,3
13,Outbound,arce,arctic center (main & washington),4
13,Outbound,wasb,washington & sandy bottom,5
13,Outbound,wash,south main & tiogue,6
13,Outbound,walm,job lot (tiogue ave. - coventry),7
13,Outbound,woma,woodland manor,8
14,Inbound,gace,newport visitor center,1
14,Inbound,narr,narragansett (salt pond plaza),2
14,Inbound,nabe,narragansett & beach,3
14,Inbound,bosh,rte. 1a & bonnet shores,4
14,Inbound,rt1a,park&ride (rtes. 1a & 138),5
14,Inbound,wick,wickford (brown & phillips),6
14,Inbound,kogr,gate road (kohl's),7
14,Inbound,pofr,post & frenchtown,8
14,Inbound,fima,first & main,9
14,Inbound,appo,apponaug (centerville & post),10
14,Inbound,grbi,greenwood bridge,11
14,Inbound,tfgr,t.f. green airport,12
14,Inbound,kepl,kennedy plaza - providence,13
14,Outbound,kepl,kennedy plaza - providence,1
14,Outbound,tfgr,t.f. green airport,2
14,Outbound,grbi,greenwood bridge,3
14,Outbound,appo,apponaug (centerville & post),4
14,Outbound,fima,first & main,5
14,Outbound,pofr,post & frenchtown,6
14,Outbound,kogr,gate road (kohl's),7
14,Outbound,wick,wickford (brown & phillips),8
14,Outbound,rt1a,park&ride (rtes. 1a & 138),9
14,Outbound,bosh,rte. 1a & bonnet shores,10
14,Outbound,nabe,narragansett & beach,11
14,Outbound,narr,narragansett (salt pond plaza),12
14,Outbound,gace,newport visitor center,13
17,Inbound,stph,stop&shop (atwood ave. - johnston),1
